https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTT,Volume USDT,tradecount
1612569600000,2021-02-06 00:00:00,BTT/USDT,0.00047740,0.00048050,0.00047560,0.00047640,93899160.00000000,44966.84100560,314
1612566000000,2021-02-05 23:00:00,BTT/USDT,0.00048010,0.00048110,0.00046900,0.00047750,1072933531.00000000,509867.41746170,2796
1612562400000,2021-02-05 22:00:00,BTT/USDT,0.00047060,0.00048040,0.00046800,0.00048010,851935193.00000000,405346.83853480,2243
1612558800000,2021-02-05 21:00:00,BTT/USDT,0.00047140,0.00047320,0.00046580,0.00047070,506747546.00000000,238376.25709250,2101
1612555200000,2021-02-05 20:00:00,BTT/USDT,0.00046650,0.00047200,0.00046430,0.00047140,529017180.00000000,247301.98477030,1557
1612551600000,2021-02-05 19:00:00,BTT/USDT,0.00046460,0.00047110,0.00046050,0.00046650,667819316.00000000,311363.31028630,1833
1612548000000,2021-02-05 18:00:00,BTT/USDT,0.00046550,0.00047530,0.00046200,0.00046480,1027696547.00000000,482196.04663800,3268
1612544400000,2021-02-05 17:00:00,BTT/USDT,0.00045940,0.00046700,0.00045760,0.00046520,914924642.00000000,423527.60533850,2799
1612540800000,2021-02-05 16:00:00,BTT/USDT,0.00045400,0.00046590,0.00045130,0.00045940,785957976.00000000,361061.22861940,2728
1612537200000,2021-02-05 15:00:00,BTT/USDT,0.00045370,0.00045750,0.00045050,0.00045400,580645113.00000000,263490.35234240,1856
1612533600000,2021-02-05 14:00:00,BTT/USDT,0.00045570,0.00045770,0.00045190,0.00045370,786583041.00000000,357701.89156880,2154
1612530000000,2021-02-05 13:00:00,BTT/USDT,0.00046230,0.00046330,0.00045300,0.00045610,779207803.00000000,356467.62878010,2465
1612526400000,2021-02-05 12:00:00,BTT/USDT,0.00046140,0.00046500,0.00046040,0.00046230,500561542.00000000,231340.48632110,1608
1612522800000,2021-02-05 11:00:00,BTT/USDT,0.00045740,0.00046230,0.00045700,0.00046090,565343342.00000000,260048.68158640,1533
1612519200000,2021-02-05 10:00:00,BTT/USDT,0.00045580,0.00046050,0.00045430,0.00045750,587004745.00000000,268691.53593200,1755
1612515600000,2021-02-05 09:00:00,BTT/USDT,0.00045530,0.00046240,0.00045220,0.00045650,900858860.00000000,412901.03795270,2716
1612512000000,2021-02-05 08:00:00,BTT/USDT,0.00044720,0.00045590,0.00044700,0.00045550,733937930.00000000,331376.55203670,1968
1612508400000,2021-02-05 07:00:00,BTT/USDT,0.00045070,0.00045400,0.00044670,0.00044720,487659308.00000000,219586.41933040,1470
1612504800000,2021-02-05 06:00:00,BTT/USDT,0.00044780,0.00045270,0.00044110,0.00045070,476186406.00000000,213583.70198040,1519
1612501200000,2021-02-05 05:00:00,BTT/USDT,0.00044680,0.00045090,0.00044440,0.00044790,420664545.00000000,188455.69966480,1263
