https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume QTUM,Volume USDT,tradecount
1612569600000,2021-02-06 00:00:00,QTUM/USDT,3.85400000,3.89500000,3.85300000,3.87300000,31592.45700000,122510.80268400,415
1612566000000,2021-02-05 23:00:00,QTUM/USDT,3.87800000,3.93100000,3.84300000,3.85700000,220653.39100000,855848.48773700,2027
1612562400000,2021-02-05 22:00:00,QTUM/USDT,3.93400000,3.94500000,3.86300000,3.87900000,237046.00900000,925740.36764200,2373
1612558800000,2021-02-05 21:00:00,QTUM/USDT,3.96600000,3.96600000,3.89500000,3.93900000,219064.68800000,861519.09546900,2642
1612555200000,2021-02-05 20:00:00,QTUM/USDT,3.93000000,4.00000000,3.88800000,3.96900000,435749.25500000,1720651.51512800,4931
1612551600000,2021-02-05 19:00:00,QTUM/USDT,3.79000000,3.94600000,3.77000000,3.93100000,395949.94400000,1528662.76884300,4407
1612548000000,2021-02-05 18:00:00,QTUM/USDT,3.72300000,3.90000000,3.72000000,3.78800000,864220.68200000,3312086.01085300,8652
1612544400000,2021-02-05 17:00:00,QTUM/USDT,3.68600000,3.72200000,3.63500000,3.72200000,260238.47900000,957773.55205700,2282
1612540800000,2021-02-05 16:00:00,QTUM/USDT,3.72800000,3.77600000,3.63200000,3.68200000,334687.09700000,1241801.16665400,3171
1612537200000,2021-02-05 15:00:00,QTUM/USDT,3.75200000,3.77900000,3.70600000,3.72800000,233363.29400000,872125.06449100,2816
1612533600000,2021-02-05 14:00:00,QTUM/USDT,3.78400000,3.79200000,3.73400000,3.75000000,218018.77200000,819081.17198200,2562
1612530000000,2021-02-05 13:00:00,QTUM/USDT,3.72500000,3.84900000,3.68900000,3.78400000,429324.65000000,1619206.40511500,4841
1612526400000,2021-02-05 12:00:00,QTUM/USDT,3.74000000,3.75300000,3.72000000,3.72500000,201221.44800000,752060.93311000,1803
1612522800000,2021-02-05 11:00:00,QTUM/USDT,3.72600000,3.75600000,3.69000000,3.74000000,266745.34300000,992799.05483300,2302
1612519200000,2021-02-05 10:00:00,QTUM/USDT,3.61400000,3.75400000,3.61300000,3.72600000,363196.07000000,1345006.79840700,3793
1612515600000,2021-02-05 09:00:00,QTUM/USDT,3.68900000,3.69800000,3.61400000,3.61600000,182819.15900000,670054.19285100,2123
1612512000000,2021-02-05 08:00:00,QTUM/USDT,3.65700000,3.69600000,3.60300000,3.68800000,333909.74500000,1218737.67852100,3179
1612508400000,2021-02-05 07:00:00,QTUM/USDT,3.62200000,3.66100000,3.61100000,3.65300000,201927.19200000,734955.89871000,1738
1612504800000,2021-02-05 06:00:00,QTUM/USDT,3.57900000,3.64600000,3.57400000,3.62100000,216677.05300000,783020.76740900,1736
1612501200000,2021-02-05 05:00:00,QTUM/USDT,3.60000000,3.61000000,3.56100000,3.57900000,150826.41500000,541085.84889900,1288
1612497600000,2021-02-05 04:00:00,QTUM/USDT,3.61100000,3.61500000,3.58300000,3.60100000,126837.45000000,456820.57180600,1166
1612494000000,2021-02-05 03:00:00,QTUM/USDT,3.57900000,3.63400000,3.57600000,3.61100000,217652.41400000,784759.64323300,2253
1612490400000,2021-02-05 02:00:00,QTUM/USDT,3.51500000,3.57900000,3.51200000,3.57900000,94721.46000000,336074.93191400,1012
1612486800000,2021-02-05 01:00:00,QTUM/USDT,3.55600000,3.57000000,3.50700000,3.51000000,120654.78000000,428466.23287200,1222
1612483200000,2021-02-05 00:00:00,QTUM/USDT,3.50600000,3.57600000,3.48300000,3.55600000,184759.74000000,655212.22939100,1991
1612479600000,2021-02-04 23:00:00,QTUM/USDT,3.52100000,3.56800000,3.50000000,3.50600000,92026.37300000,325073.70857100,1124
1612476000000,2021-02-04 22:00:00,QTUM/USDT,3.54700000,3.55000000,3.48500000,3.51800000,110926.47500000,389278.56247400,1447
1612472400000,2021-02-04 21:00:00,QTUM/USDT,3.55700000,3.57000000,3.53400000,3.54400000,81247.36800000,288816.63143600,934
1612468800000,2021-02-04 20:00:00,QTUM/USDT,3.55800000,3.58000000,3.54000000,3.55700000,113504.20400000,404344.41791800,1279
1612465200000,2021-02-04 19:00:00,QTUM/USDT,3.56600000,3.57100000,3.52600000,3.56000000,78323.16000000,278108.01848500,1009
1612461600000,2021-02-04 18:00:00,QTUM/USDT,3.54300000,3.57500000,3.51600000,3.56400000,204225.42300000,723925.12997800,1720
1612458000000,2021-02-04 17:00:00,QTUM/USDT,3.52300000,3.59100000,3.51700000,3.53800000,309504.26900000,1099378.73313900,2723
1612454400000,2021-02-04 16:00:00,QTUM/USDT,3.46800000,3.53000000,3.45300000,3.52600000,141608.35800000,494640.69751600,1450
1612450800000,2021-02-04 15:00:00,QTUM/USDT,3.48300000,3.51300000,3.42400000,3.46600000,236945.28400000,822209.48276500,2216
1612447200000,2021-02-04 14:00:00,QTUM/USDT,3.54400000,3.55900000,3.47500000,3.48500000,230485.97700000,813347.69160400,2214
1612443600000,2021-02-04 13:00:00,QTUM/USDT,3.53500000,3.56800000,3.51900000,3.54800000,217109.97100000,770248.49726700,1861
1612440000000,2021-02-04 12:00:00,QTUM/USDT,3.46200000,3.57600000,3.44600000,3.53500000,307838.92800000,1084690.25309200,2958
1612436400000,2021-02-04 11:00:00,QTUM/USDT,3.51400000,3.51400000,3.45900000,3.46200000,163471.44300000,570777.46141000,1358
1612432800000,2021-02-04 10:00:00,QTUM/USDT,3.49200000,3.52500000,3.48000000,3.51400000,265317.47700000,929959.38873400,2368
1612429200000,2021-02-04 09:00:00,QTUM/USDT,3.49000000,3.50600000,3.32700000,3.49000000,608604.97200000,2092402.63650600,7759
1612425600000,2021-02-04 08:00:00,QTUM/USDT,3.54600000,3.59000000,3.47000000,3.48800000,447024.92400000,1584058.99062200,4267
1612422000000,2021-02-04 07:00:00,QTUM/USDT,3.59300000,3.61100000,3.54400000,3.54700000,153502.82800000,550535.39041000,1564
1612418400000,2021-02-04 06:00:00,QTUM/USDT,3.60100000,3.64000000,3.58300000,3.59200000,198841.77100000,717284.64502900,2019
1612414800000,2021-02-04 05:00:00,QTUM/USDT,3.58600000,3.62600000,3.57600000,3.60200000,132812.05200000,478383.77124900,1361
1612411200000,2021-02-04 04:00:00,QTUM/USDT,3.55400000,3.59500000,3.53200000,3.58600000,118748.28500000,424098.25980000,1122
1612407600000,2021-02-04 03:00:00,QTUM/USDT,3.64200000,3.64300000,3.53800000,3.55100000,280040.49400000,1003119.32790000,2734
1612404000000,2021-02-04 02:00:00,QTUM/USDT,3.67200000,3.68300000,3.58300000,3.64000000,284536.66600000,1030476.85343000,2238
1612400400000,2021-02-04 01:00:00,QTUM/USDT,3.66200000,3.69900000,3.65900000,3.67200000,114642.81800000,421825.73421700,1246
1612396800000,2021-02-04 00:00:00,QTUM/USDT,3.68400000,3.73800000,3.65600000,3.66300000,310450.31800000,1147237.80255400,2374
1612393200000,2021-02-03 23:00:00,QTUM/USDT,3.70300000,3.76700000,3.67200000,3.68300000,205020.31500000,761659.74765900,2591
1612389600000,2021-02-03 22:00:00,QTUM/USDT,3.65000000,3.70700000,3.63000000,3.70200000,83625.98200000,306442.24270600,1104
1612386000000,2021-02-03 21:00:00,QTUM/USDT,3.64100000,3.65700000,3.61000000,3.65200000,147367.78100000,535532.70335200,1429
1612382400000,2021-02-03 20:00:00,QTUM/USDT,3.63700000,3.65000000,3.61400000,3.64100000,92309.45700000,335486.47190900,1158
1612378800000,2021-02-03 19:00:00,QTUM/USDT,3.66600000,3.67300000,3.63100000,3.63700000,96902.70000000,354069.98789400,1244
1612375200000,2021-02-03 18:00:00,QTUM/USDT,3.65700000,3.68200000,3.64600000,3.66500000,123960.01400000,454259.28628700,1517
1612371600000,2021-02-03 17:00:00,QTUM/USDT,3.64200000,3.65900000,3.59900000,3.65700000,241182.07900000,875607.06927400,2094
1612368000000,2021-02-03 16:00:00,QTUM/USDT,3.68200000,3.69600000,3.60500000,3.64200000,295794.85400000,1078588.20475900,2925
1612364400000,2021-02-03 15:00:00,QTUM/USDT,3.70300000,3.76600000,3.66400000,3.67800000,386254.52700000,1430759.13056800,3569
1612360800000,2021-02-03 14:00:00,QTUM/USDT,3.69400000,3.73500000,3.65000000,3.70300000,345787.04100000,1275104.66715500,3465
1612357200000,2021-02-03 13:00:00,QTUM/USDT,3.62400000,3.74000000,3.61100000,3.69000000,971308.78200000,3569763.08526400,9130
1612353600000,2021-02-03 12:00:00,QTUM/USDT,3.52300000,3.62800000,3.50600000,3.62600000,269401.97000000,958772.91004300,3115
