https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XLM,Volume USDT,tradecount
1612569600000,2021-02-06 00:00:00,XLM/USDT,0.35164000,0.35493000,0.35152000,0.35377000,1798811.90000000,636052.31027500,1333
1612566000000,2021-02-05 23:00:00,XLM/USDT,0.34653000,0.35343000,0.34650000,0.35155000,10703741.10000000,3751655.05831400,7661
1612562400000,2021-02-05 22:00:00,XLM/USDT,0.34893000,0.34963000,0.34550000,0.34653000,12593381.70000000,4374618.19637500,8050
1612558800000,2021-02-05 21:00:00,XLM/USDT,0.35268000,0.35268000,0.34628000,0.34904000,12086105.40000000,4226237.22946100,8627
1612555200000,2021-02-05 20:00:00,XLM/USDT,0.34841000,0.35495000,0.34718000,0.35259000,14332267.60000000,5039889.86492600,10369
1612551600000,2021-02-05 19:00:00,XLM/USDT,0.34475000,0.35041000,0.34210000,0.34867000,14663182.00000000,5077260.68651700,8825
1612548000000,2021-02-05 18:00:00,XLM/USDT,0.35224000,0.35658000,0.34250000,0.34475000,20774920.40000000,7290711.00913700,14313
1612544400000,2021-02-05 17:00:00,XLM/USDT,0.34958000,0.35300000,0.34695000,0.35219000,17873291.70000000,6269059.71139400,10786
1612540800000,2021-02-05 16:00:00,XLM/USDT,0.35605000,0.36000000,0.34100000,0.34955000,27171818.20000000,9596553.42922100,18594
1612537200000,2021-02-05 15:00:00,XLM/USDT,0.35440000,0.36284000,0.34724000,0.35592000,43052965.30000000,15328103.60085200,24936
1612533600000,2021-02-05 14:00:00,XLM/USDT,0.34995000,0.35463000,0.34884000,0.35452000,18480534.10000000,6500507.56167100,10105
1612530000000,2021-02-05 13:00:00,XLM/USDT,0.35020000,0.35344000,0.34550000,0.34990000,20417975.30000000,7141565.56045600,11576
1612526400000,2021-02-05 12:00:00,XLM/USDT,0.35758000,0.35807000,0.34931000,0.35020000,32507069.50000000,11465382.57674800,15100
1612522800000,2021-02-05 11:00:00,XLM/USDT,0.35892000,0.35927000,0.34950000,0.35749000,37095712.20000000,13134517.86481200,19613
1612519200000,2021-02-05 10:00:00,XLM/USDT,0.34007000,0.36200000,0.33871000,0.35900000,70713070.40000000,24991646.83418000,35452
1612515600000,2021-02-05 09:00:00,XLM/USDT,0.34340000,0.34500000,0.33908000,0.34003000,16576834.80000000,5673232.45146300,9086
1612512000000,2021-02-05 08:00:00,XLM/USDT,0.34495000,0.34668000,0.33850000,0.34341000,16845329.70000000,5772859.76836900,9753
1612508400000,2021-02-05 07:00:00,XLM/USDT,0.34386000,0.34592000,0.33986000,0.34503000,21638517.60000000,7429213.48827700,11649
1612504800000,2021-02-05 06:00:00,XLM/USDT,0.33512000,0.34980000,0.33501000,0.34334000,34202935.00000000,11757339.46585000,22941
1612501200000,2021-02-05 05:00:00,XLM/USDT,0.33555000,0.33746000,0.33368000,0.33527000,8166920.60000000,2742504.53345200,5075
1612497600000,2021-02-05 04:00:00,XLM/USDT,0.33949000,0.34072000,0.33449000,0.33555000,10449017.10000000,3522857.42429300,6471
1612494000000,2021-02-05 03:00:00,XLM/USDT,0.33695000,0.33993000,0.33529000,0.33957000,12718503.40000000,4294049.38049100,7914
1612490400000,2021-02-05 02:00:00,XLM/USDT,0.32996000,0.33730000,0.32940000,0.33681000,11696599.70000000,3896561.08133500,8186
1612486800000,2021-02-05 01:00:00,XLM/USDT,0.33040000,0.33790000,0.32910000,0.32987000,18160905.60000000,6063978.13022400,12072
1612483200000,2021-02-05 00:00:00,XLM/USDT,0.32597000,0.33227000,0.32500000,0.33043000,9595926.90000000,3151885.79293300,6974
1612479600000,2021-02-04 23:00:00,XLM/USDT,0.32795000,0.33197000,0.32544000,0.32569000,9481150.00000000,3123594.47234300,6915
1612476000000,2021-02-04 22:00:00,XLM/USDT,0.33153000,0.33266000,0.32500000,0.32798000,10509754.30000000,3452907.36014900,7979
1612472400000,2021-02-04 21:00:00,XLM/USDT,0.32800000,0.33385000,0.32763000,0.33149000,12900796.40000000,4272579.31931300,9563
1612468800000,2021-02-04 20:00:00,XLM/USDT,0.32852000,0.32900000,0.32655000,0.32799000,6685122.50000000,2189676.70793800,5047
1612465200000,2021-02-04 19:00:00,XLM/USDT,0.32611000,0.32928000,0.32582000,0.32858000,8485116.00000000,2779154.91587800,6040
1612461600000,2021-02-04 18:00:00,XLM/USDT,0.32749000,0.32963000,0.32460000,0.32612000,13209584.30000000,4314501.12227100,9479
1612458000000,2021-02-04 17:00:00,XLM/USDT,0.32445000,0.32989000,0.32430000,0.32748000,12782533.60000000,4187648.49511600,9427
1612454400000,2021-02-04 16:00:00,XLM/USDT,0.32272000,0.32694000,0.32104000,0.32445000,11197114.80000000,3627406.85729500,7881
1612450800000,2021-02-04 15:00:00,XLM/USDT,0.32170000,0.32449000,0.31578000,0.32251000,19151231.30000000,6142052.64711400,12419
1612447200000,2021-02-04 14:00:00,XLM/USDT,0.32912000,0.32984000,0.32080000,0.32166000,12687188.00000000,4140295.93940200,8746
1612443600000,2021-02-04 13:00:00,XLM/USDT,0.32614000,0.32953000,0.32485000,0.32953000,7669774.30000000,2509487.25183900,6548
1612440000000,2021-02-04 12:00:00,XLM/USDT,0.32228000,0.32727000,0.32069000,0.32609000,9916136.90000000,3218127.79216200,7810
1612436400000,2021-02-04 11:00:00,XLM/USDT,0.32778000,0.32778000,0.32151000,0.32222000,12849618.70000000,4176314.88633200,8990
1612432800000,2021-02-04 10:00:00,XLM/USDT,0.32607000,0.32965000,0.32477000,0.32787000,11084083.60000000,3626388.11167200,9089
1612429200000,2021-02-04 09:00:00,XLM/USDT,0.33063000,0.33085000,0.31244000,0.32611000,50042485.80000000,16141305.23948100,37181
1612425600000,2021-02-04 08:00:00,XLM/USDT,0.33181000,0.33728000,0.33000000,0.33066000,21356468.90000000,7123885.23410700,16772
1612422000000,2021-02-04 07:00:00,XLM/USDT,0.33754000,0.33940000,0.33172000,0.33181000,13693745.60000000,4594795.73605500,9668
1612418400000,2021-02-04 06:00:00,XLM/USDT,0.33542000,0.33864000,0.33398000,0.33753000,9404899.70000000,3164829.18348700,6354
1612414800000,2021-02-04 05:00:00,XLM/USDT,0.33621000,0.33801000,0.33479000,0.33544000,8848705.10000000,2973537.69561900,5702
1612411200000,2021-02-04 04:00:00,XLM/USDT,0.33387000,0.33787000,0.33203000,0.33631000,7544016.30000000,2530633.23083800,6491
1612407600000,2021-02-04 03:00:00,XLM/USDT,0.33901000,0.33989000,0.33330000,0.33374000,10268988.00000000,3455086.96359200,8753
1612404000000,2021-02-04 02:00:00,XLM/USDT,0.34103000,0.34399000,0.33455000,0.33900000,13386454.60000000,4529673.89474700,13237
1612400400000,2021-02-04 01:00:00,XLM/USDT,0.34044000,0.34339000,0.33924000,0.34118000,16179961.70000000,5521628.90029500,12093
1612396800000,2021-02-04 00:00:00,XLM/USDT,0.34672000,0.34999000,0.33934000,0.34040000,17607724.50000000,6079198.12556400,15641
1612393200000,2021-02-03 23:00:00,XLM/USDT,0.34431000,0.34670000,0.34234000,0.34670000,9294373.70000000,3202500.88510400,7477
1612389600000,2021-02-03 22:00:00,XLM/USDT,0.34228000,0.34498000,0.34125000,0.34429000,6988928.30000000,2397697.43175200,6318
1612386000000,2021-02-03 21:00:00,XLM/USDT,0.33983000,0.34400000,0.33927000,0.34228000,10584404.70000000,3620147.99935400,8456
1612382400000,2021-02-03 20:00:00,XLM/USDT,0.33848000,0.34215000,0.33560000,0.33981000,11383471.40000000,3854175.79591600,9198
1612378800000,2021-02-03 19:00:00,XLM/USDT,0.34227000,0.34235000,0.33746000,0.33839000,8646534.10000000,2935756.06105400,7152
1612375200000,2021-02-03 18:00:00,XLM/USDT,0.34307000,0.34390000,0.33900000,0.34224000,11490639.50000000,3919955.83388600,8472
1612371600000,2021-02-03 17:00:00,XLM/USDT,0.34036000,0.34450000,0.33818000,0.34302000,17083730.20000000,5828569.51463500,14841
1612368000000,2021-02-03 16:00:00,XLM/USDT,0.33847000,0.34600000,0.33703000,0.34033000,30577027.50000000,10453772.59811400,24450
1612364400000,2021-02-03 15:00:00,XLM/USDT,0.33727000,0.33949000,0.33447000,0.33857000,12889701.60000000,4348682.08775000,10022
1612360800000,2021-02-03 14:00:00,XLM/USDT,0.33647000,0.33850000,0.33497000,0.33726000,10916283.10000000,3675610.02862300,10983
1612357200000,2021-02-03 13:00:00,XLM/USDT,0.33325000,0.33800000,0.33151000,0.33639000,12297751.10000000,4114348.64533700,11913
1612353600000,2021-02-03 12:00:00,XLM/USDT,0.33051000,0.33527000,0.32920000,0.33326000,16952622.40000000,5636900.40881300,14331
1612350000000,2021-02-03 11:00:00,XLM/USDT,0.33617000,0.33880000,0.33009000,0.33051000,17068836.00000000,5700821.39742100,12684
1612346400000,2021-02-03 10:00:00,XLM/USDT,0.33374000,0.33700000,0.33350000,0.33617000,7373303.60000000,2476324.36741200,5607
1612342800000,2021-02-03 09:00:00,XLM/USDT,0.33574000,0.33743000,0.33113000,0.33377000,11958052.00000000,3998166.51654000,7691
1612339200000,2021-02-03 08:00:00,XLM/USDT,0.34172000,0.34330000,0.33244000,0.33563000,20082962.70000000,6749956.98604500,14044
1612335600000,2021-02-03 07:00:00,XLM/USDT,0.34001000,0.34355000,0.33978000,0.34180000,8311368.60000000,2841291.69473500,6302
1612332000000,2021-02-03 06:00:00,XLM/USDT,0.34349000,0.34387000,0.33950000,0.33996000,6158572.20000000,2103979.76162000,5458
1612328400000,2021-02-03 05:00:00,XLM/USDT,0.34358000,0.34545000,0.34074000,0.34335000,7277560.10000000,2496840.11149100,5760
1612324800000,2021-02-03 04:00:00,XLM/USDT,0.34632000,0.34735000,0.34156000,0.34356000,11565251.80000000,3977060.29700600,7841
1612321200000,2021-02-03 03:00:00,XLM/USDT,0.34618000,0.34872000,0.34343000,0.34664000,12574277.40000000,4353171.35336600,9435
1612317600000,2021-02-03 02:00:00,XLM/USDT,0.34080000,0.34630000,0.34043000,0.34611000,10797750.30000000,3706788.81539200,8358
1612314000000,2021-02-03 01:00:00,XLM/USDT,0.33753000,0.34344000,0.33631000,0.34081000,10850956.30000000,3688581.58580000,8399
1612310400000,2021-02-03 00:00:00,XLM/USDT,0.33932000,0.34380000,0.33618000,0.33749000,11357953.00000000,3866706.22424400,8454
1612306800000,2021-02-02 23:00:00,XLM/USDT,0.33987000,0.34663000,0.33700000,0.33932000,17154119.80000000,5869408.30576800,11466
1612303200000,2021-02-02 22:00:00,XLM/USDT,0.33948000,0.34196000,0.33639000,0.33992000,14295185.90000000,4853958.10556400,9266
1612299600000,2021-02-02 21:00:00,XLM/USDT,0.33069000,0.33999000,0.33067000,0.33947000,15532022.90000000,5210850.31513600,10902
1612296000000,2021-02-02 20:00:00,XLM/USDT,0.33273000,0.33376000,0.32901000,0.33080000,14174175.80000000,4697390.85567900,10640
1612292400000,2021-02-02 19:00:00,XLM/USDT,0.33746000,0.33824000,0.33148000,0.33277000,13268472.40000000,4428059.91948900,9403
1612288800000,2021-02-02 18:00:00,XLM/USDT,0.33371000,0.34002000,0.33138000,0.33760000,15243255.80000000,5126179.56749300,11543
1612285200000,2021-02-02 17:00:00,XLM/USDT,0.33127000,0.33487000,0.33000000,0.33380000,12884557.00000000,4284537.00265600,9680
1612281600000,2021-02-02 16:00:00,XLM/USDT,0.34121000,0.34165000,0.32957000,0.33106000,27560553.10000000,9212305.00701800,19010
1612278000000,2021-02-02 15:00:00,XLM/USDT,0.34023000,0.34180000,0.33307000,0.34129000,23821014.50000000,8023199.87000100,18614
1612274400000,2021-02-02 14:00:00,XLM/USDT,0.34062000,0.34999000,0.33800000,0.34024000,49306671.10000000,16906700.86687900,31424
1612270800000,2021-02-02 13:00:00,XLM/USDT,0.32852000,0.34514000,0.32703000,0.34048000,48351224.50000000,16324437.89027300,28460
1612267200000,2021-02-02 12:00:00,XLM/USDT,0.32665000,0.33211000,0.32474000,0.32852000,20470949.20000000,6717670.22432500,12039
1612263600000,2021-02-02 11:00:00,XLM/USDT,0.32751000,0.33595000,0.32553000,0.32666000,29823597.70000000,9850861.58421900,19274
1612260000000,2021-02-02 10:00:00,XLM/USDT,0.32707000,0.32901000,0.32437000,0.32755000,14700588.70000000,4811047.13731200,9226
1612256400000,2021-02-02 09:00:00,XLM/USDT,0.32235000,0.32952000,0.32033000,0.32705000,23417538.40000000,7612430.53648100,16858
1612252800000,2021-02-02 08:00:00,XLM/USDT,0.32228000,0.32500000,0.32000000,0.32250000,11030019.60000000,3554561.35836000,8231
1612249200000,2021-02-02 07:00:00,XLM/USDT,0.32572000,0.32647000,0.31967000,0.32246000,13131703.00000000,4228026.56321300,9940
1612245600000,2021-02-02 06:00:00,XLM/USDT,0.32365000,0.32669000,0.32061000,0.32563000,8786885.80000000,2841163.84947700,6291
1612242000000,2021-02-02 05:00:00,XLM/USDT,0.32384000,0.32628000,0.32055000,0.32367000,9821578.10000000,3173299.36900900,6874
1612238400000,2021-02-02 04:00:00,XLM/USDT,0.31975000,0.32878000,0.31933000,0.32405000,13323813.50000000,4332267.39299000,10377
1612234800000,2021-02-02 03:00:00,XLM/USDT,0.32395000,0.32446000,0.31735000,0.31975000,13233974.20000000,4232640.10400000,10219
1612231200000,2021-02-02 02:00:00,XLM/USDT,0.32243000,0.32515000,0.31975000,0.32412000,14603538.80000000,4706357.48236700,13549
1612227600000,2021-02-02 01:00:00,XLM/USDT,0.32887000,0.32888000,0.32000000,0.32233000,21621643.00000000,7005192.91611900,33743
1612224000000,2021-02-02 00:00:00,XLM/USDT,0.32354000,0.33544000,0.32220000,0.32874000,38932717.00000000,12811279.72558100,25295
1612220400000,2021-02-01 23:00:00,XLM/USDT,0.31814000,0.32423000,0.31731000,0.32323000,16216579.00000000,5200504.35401100,10263
1612216800000,2021-02-01 22:00:00,XLM/USDT,0.31806000,0.32877000,0.31404000,0.31792000,25764404.90000000,8261920.63484100,16799
1612213200000,2021-02-01 21:00:00,XLM/USDT,0.32156000,0.32156000,0.31555000,0.31809000,18818901.30000000,5998134.15483200,10502
1612209600000,2021-02-01 20:00:00,XLM/USDT,0.32176000,0.32799000,0.31967000,0.32134000,21814211.70000000,7046216.08543600,24710
1612206000000,2021-02-01 19:00:00,XLM/USDT,0.31890000,0.32800000,0.31658000,0.32173000,18633304.60000000,6016387.98232300,11986
1612202400000,2021-02-01 18:00:00,XLM/USDT,0.31973000,0.32225000,0.31453000,0.31894000,17740479.00000000,5646097.41013700,12008
1612198800000,2021-02-01 17:00:00,XLM/USDT,0.31238000,0.32512000,0.31222000,0.31973000,32636143.80000000,10398359.91143500,24828
1612195200000,2021-02-01 16:00:00,XLM/USDT,0.32287000,0.32486000,0.31195000,0.31251000,39249908.70000000,12530902.92130900,18827
1612191600000,2021-02-01 15:00:00,XLM/USDT,0.31121000,0.33567000,0.31055000,0.32289000,46842994.40000000,15155947.66876400,35731
1612188000000,2021-02-01 14:00:00,XLM/USDT,0.31869000,0.32045000,0.30350000,0.31118000,47786898.60000000,14886429.92434500,32662
1612184400000,2021-02-01 13:00:00,XLM/USDT,0.32943000,0.33624000,0.31250000,0.31863000,78294754.00000000,25354786.62532000,43425
1612180800000,2021-02-01 12:00:00,XLM/USDT,0.32949000,0.34000000,0.32235000,0.32943000,94563580.00000000,31351300.40615100,51418
