https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XMR,Volume USDT,tradecount
1612569600000,2021-02-06 00:00:00,XMR/USDT,155.46000000,155.91000000,154.90000000,155.47000000,1029.88055000,160093.84101590,706
1612566000000,2021-02-05 23:00:00,XMR/USDT,154.40000000,155.83000000,153.85000000,155.40000000,3528.49375000,546479.77455980,1968
1612562400000,2021-02-05 22:00:00,XMR/USDT,153.04000000,156.43000000,152.50000000,154.40000000,10753.24651000,1657477.02877450,3122
1612558800000,2021-02-05 21:00:00,XMR/USDT,153.12000000,153.37000000,152.21000000,153.05000000,1640.14993000,250807.26098510,917
1612555200000,2021-02-05 20:00:00,XMR/USDT,152.54000000,153.67000000,151.57000000,153.14000000,6545.75832000,996697.79507790,2348
1612551600000,2021-02-05 19:00:00,XMR/USDT,151.58000000,153.46000000,151.57000000,152.54000000,5684.06146000,866012.62187920,1761
1612548000000,2021-02-05 18:00:00,XMR/USDT,152.52000000,152.77000000,151.57000000,151.65000000,5925.75543000,899531.28715960,1561
1612544400000,2021-02-05 17:00:00,XMR/USDT,151.76000000,152.72000000,151.42000000,152.50000000,3145.79543000,477606.83395870,1585
1612540800000,2021-02-05 16:00:00,XMR/USDT,152.96000000,154.90000000,150.80000000,151.73000000,6875.06275000,1053881.53316860,3618
1612537200000,2021-02-05 15:00:00,XMR/USDT,153.70000000,154.18000000,152.66000000,152.95000000,6368.97167000,978352.14681100,2906
1612533600000,2021-02-05 14:00:00,XMR/USDT,152.48000000,153.71000000,152.26000000,153.71000000,6531.73179000,999507.60601540,2898
1612530000000,2021-02-05 13:00:00,XMR/USDT,151.43000000,152.48000000,151.08000000,152.48000000,6156.04975000,933248.51905940,1667
1612526400000,2021-02-05 12:00:00,XMR/USDT,152.00000000,152.40000000,151.14000000,151.39000000,4373.27605000,664218.85236960,2109
1612522800000,2021-02-05 11:00:00,XMR/USDT,149.92000000,152.08000000,149.90000000,151.99000000,3501.94201000,528889.53630070,1480
1612519200000,2021-02-05 10:00:00,XMR/USDT,149.65000000,151.22000000,149.35000000,149.92000000,4808.87014000,721333.02331400,1964
1612515600000,2021-02-05 09:00:00,XMR/USDT,150.97000000,151.81000000,149.51000000,149.51000000,5911.45886000,891030.97066800,2206
1612512000000,2021-02-05 08:00:00,XMR/USDT,151.75000000,152.12000000,150.95000000,150.97000000,3417.79344000,517232.76591050,1123
1612508400000,2021-02-05 07:00:00,XMR/USDT,151.38000000,151.83000000,150.26000000,151.65000000,2969.12011000,448309.90639250,1423
1612504800000,2021-02-05 06:00:00,XMR/USDT,150.66000000,151.89000000,150.38000000,151.41000000,2231.26092000,337641.79594540,1216
1612501200000,2021-02-05 05:00:00,XMR/USDT,150.10000000,150.97000000,149.83000000,150.57000000,1785.48052000,268643.69264200,894
1612497600000,2021-02-05 04:00:00,XMR/USDT,150.41000000,150.61000000,150.06000000,150.18000000,1517.78950000,228097.00892800,724
1612494000000,2021-02-05 03:00:00,XMR/USDT,149.51000000,150.50000000,149.44000000,150.41000000,2139.40758000,321012.65482430,941
1612490400000,2021-02-05 02:00:00,XMR/USDT,148.33000000,149.60000000,148.31000000,149.54000000,1893.99775000,281979.36446610,773
1612486800000,2021-02-05 01:00:00,XMR/USDT,148.66000000,149.82000000,148.33000000,148.42000000,2330.08435000,347614.03564750,1124
1612483200000,2021-02-05 00:00:00,XMR/USDT,148.09000000,149.09000000,147.41000000,148.51000000,5800.26064000,859183.03494050,2179
1612479600000,2021-02-04 23:00:00,XMR/USDT,149.27000000,150.00000000,148.00000000,148.04000000,2875.84682000,429267.70111420,1271
1612476000000,2021-02-04 22:00:00,XMR/USDT,151.02000000,151.12000000,148.29000000,149.32000000,3211.62013000,479530.59791140,1543
